iter	Passed	Remaining
0	142	14092
1	145	7107
2	148	4791
3	149	3591
4	150	2864
5	151	2375
6	152	2026
7	153	1763
8	154	1559
9	155	1397
10	156	1265
11	157	1154
12	158	1061
13	159	982
14	161	913
15	162	853
16	163	798
17	164	749
18	165	704
19	166	665
20	167	631
21	168	598
22	169	568
23	170	540
24	171	515
25	173	492
26	174	470
27	175	450
28	176	432
29	177	414
30	178	397
31	179	381
32	180	366
33	181	352
34	182	339
35	184	327
36	185	315
37	186	303
38	187	293
39	188	282
40	189	272
41	190	263
42	192	254
43	192	245
44	193	236
45	194	228
46	196	221
47	197	213
48	198	206
49	199	199
50	199	192
51	200	185
52	201	178
53	202	172
54	203	166
55	204	160
56	206	155
57	207	150
58	208	144
59	209	139
60	210	134
61	211	129
62	212	124
63	213	120
64	214	115
65	215	111
66	216	106
67	218	102
68	219	98
69	220	94
70	222	90
71	223	86
72	224	83
73	225	79
74	226	75
75	227	71
76	228	68
77	229	64
78	230	61
79	231	57
80	233	54
81	234	51
82	235	48
83	237	45
84	238	42
85	239	39
86	240	35
87	241	32
88	242	29
89	243	27
90	244	24
91	244	21
92	245	18
93	246	15
94	248	13
95	249	10
96	250	7
97	251	5
98	252	2
99	253	0
